Repository,Visibility,BranchCount,DefaultBranch,PrimaryLanguage,SizeKB,Created,LastUpdated,Description,HTTPS_URL,SSH_URL,TeamAccess
"onlinesales-ai/osPackageSvc","private","1","release_1.0","JavaScript","1302","2024-05-09T08:07:20Z","2026-01-22T06:30:12Z","OS Package Service","https://github.com/onlinesales-ai/osPackageSvc","git@github.com:onlinesales-ai/osPackageSvc.git","frigga-cloud(write); osmos-client-delight(maintain); osmos-client-delight-admin(admin); osmos-client-delight-write(maintain); osmos-media-write(write); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-interns(write); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/osmos-ui-qa","private","1","main","Java","420986","2024-05-16T07:06:03Z","2026-01-23T05:22:16Z","[Maverick] OSMOS UI QA Automation","https://github.com/onlinesales-ai/osmos-ui-qa","git@github.com:onlinesales-ai/osmos-ui-qa.git","cw-qa(read); osmos-qa(read); osmos-qa-admin(admin); osmos-qa-write(write); ui(write); ui-admin(admin); ui-write(write)"
"onlinesales-ai/offerService","private","1","release_1.0","JavaScript","63","2024-06-06T05:46:30Z","2024-07-15T12:00:24Z","Offer Service helps to compute and to apply the offers on the campaign based on certain conditions.","https://github.com/onlinesales-ai/offerService","git@github.com:onlinesales-ai/offerService.git","flairminds(read); frigga-cloud(write); osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-rms-interns(write); osmos-rms-write(write)"
"onlinesales-ai/osmos-api-qa","private","1","main","JavaScript","16101","2024-06-19T06:41:44Z","2025-11-25T08:33:39Z","OSMOS API QA Automation","https://github.com/onlinesales-ai/osmos-api-qa","git@github.com:onlinesales-ai/osmos-api-qa.git","dev-external-contractors(write); osmos-client-delight(write); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-media(read); osmos-media-admin(admin); osmos-media-write(write); osmos-performance(write); osmos-performance-admin(admin); osmos-performance-write(write); osmos-rms(read); osmos-rms-admin(read); osmos-rms-ui-write(read); osmos-rms-write(read)"
"onlinesales-ai/financeServiceConsumer_deprecated","private","1","mainline","Python","92","2024-06-25T05:46:05Z","2024-07-31T08:25:24Z","OfflineApplication-Consumer-InvoiceGeneration ","https://github.com/onlinesales-ai/financeServiceConsumer_deprecated","git@github.com:onlinesales-ai/financeServiceConsumer_deprecated.git","osmos-client-delight(read); osmos-client-delight-admin(admin); osmos-client-delight-write(write); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/multiVerseService","private","1","release","JavaScript","406","2024-06-26T06:38:35Z","2026-01-30T13:11:01Z","UI Related services - Strapi","https://github.com/onlinesales-ai/multiVerseService","git@github.com:onlinesales-ai/multiVerseService.git","frigga-cloud(write); infra-admin(admin); instore(read); instore-admin(read); instore-write(read); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(write); osmos-rms-write(write); ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/hyperlocal-microsites","private","1","master","JavaScript","3371","2024-07-12T05:49:27Z","2026-02-21T14:23:19Z","","https://github.com/onlinesales-ai/hyperlocal-microsites","git@github.com:onlinesales-ai/hyperlocal-microsites.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/hyperlocal-microsites-strapi","private","1","master","JavaScript","841","2024-07-23T05:36:43Z","2025-09-26T11:09:47Z","","https://github.com/onlinesales-ai/hyperlocal-microsites-strapi","git@github.com:onlinesales-ai/hyperlocal-microsites-strapi.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/osmos-pulse-qa","private","1","main","Java","18499","2024-07-25T06:22:58Z","2025-04-04T08:24:13Z","OSMOS Pulse-UI QA Automation ","https://github.com/onlinesales-ai/osmos-pulse-qa","git@github.com:onlinesales-ai/osmos-pulse-qa.git","ui(write); ui-admin(write); ui-write(write)"
"onlinesales-ai/strapi-osmos","private","1","master","JavaScript","638","2024-07-29T06:15:02Z","2026-01-28T13:06:03Z","","https://github.com/onlinesales-ai/strapi-osmos","git@github.com:onlinesales-ai/strapi-osmos.git","ui(write); ui-admin(admin); ui-write(write)"
"onlinesales-ai/strapi-hyperlocal","private","1","master","JavaScript","413","2024-07-29T06:15:18Z","2026-01-05T09:56:21Z","","https://github.com/onlinesales-ai/strapi-hyperlocal","git@github.com:onlinesales-ai/strapi-hyperlocal.git","ui(write); ui-admin(admin); ui-write(write)"
"onlinesales-ai/onCallTelBot","private","1","main","N/A","6","2024-08-05T09:26:13Z","2024-08-05T10:52:49Z","","https://github.com/onlinesales-ai/onCallTelBot","git@github.com:onlinesales-ai/onCallTelBot.git","No team assigned"
"onlinesales-ai/hyperlocal-partner-ui","private","1","master","JavaScript","3739","2024-08-08T09:48:48Z","2026-01-20T09:03:14Z","","https://github.com/onlinesales-ai/hyperlocal-partner-ui","git@github.com:onlinesales-ai/hyperlocal-partner-ui.git","ui(read); ui-admin(admin); ui-write(write)"
"onlinesales-ai/osmos-display-adserver-api-qa","private","1","main","JavaScript","8447","2024-08-22T08:40:54Z","2026-01-12T09:37:34Z","OSMOS Display AdServer API QA","https://github.com/onlinesales-ai/osmos-display-adserver-api-qa","git@github.com:onlinesales-ai/osmos-display-adserver-api-qa.git","dev-external-contractors(write); osmos-client-delight(maintain); osmos-client-delight-admin(admin); osmos-client-delight-write(maintain); osmos-media-admin(admin); osmos-media-write(write); osmos-performance(write); osmos-performance-admin(admin); osmos-performance-write(write); osmos-rms(read); osmos-rms-admin(read); osmos-rms-ui-write(read); osmos-rms-write(read)"
"onlinesales-ai/hyperlocal-microsite-ssl-certificates","private","1","master","N/A","0","2024-08-28T10:57:28Z","2024-08-28T10:57:32Z","","https://github.com/onlinesales-ai/hyperlocal-microsite-ssl-certificates","git@github.com:onlinesales-ai/hyperlocal-microsite-ssl-certificates.git","No team assigned"
"onlinesales-ai/devOpsTools","private","1","main","Shell","78","2024-09-02T08:02:12Z","2025-02-05T09:57:00Z","","https://github.com/onlinesales-ai/devOpsTools","git@github.com:onlinesales-ai/devOpsTools.git","dev(write); flairminds(write)"
"onlinesales-ai/engageService","private","1","release_1.0","JavaScript","2482","2024-09-04T09:10:29Z","2026-02-19T06:17:50Z","","https://github.com/onlinesales-ai/engageService","git@github.com:onlinesales-ai/engageService.git","flairminds(read); frigga-cloud(write); infra(read); infra-admin(admin); infra-write(read); osmos-media(read); osmos-media-admin(read); osmos-media-write(read); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-interns(write); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/flairminds","private","1","master","N/A","17076","2024-09-06T08:49:11Z","2025-02-09T12:02:07Z","","https://github.com/onlinesales-ai/flairminds","git@github.com:onlinesales-ai/flairminds.git","dev(write); flairminds(admin); hyperlocal-write(write); osmos-rms-write(write)"
"onlinesales-ai/utilities","private","1","main","N/A","21","2024-09-06T09:08:32Z","2024-09-06T09:08:35Z","","https://github.com/onlinesales-ai/utilities","git@github.com:onlinesales-ai/utilities.git","No team assigned"
"onlinesales-ai/osmos-inference-svc","private","1","release","Python","2107","2024-09-12T07:35:20Z","2026-02-18T07:19:39Z","","https://github.com/onlinesales-ai/osmos-inference-svc","git@github.com:onlinesales-ai/osmos-inference-svc.git","frigga-cloud(write); osmos-performance(maintain); osmos-performance-admin(admin); osmos-performance-write(maintain); osmos-rms(read); osmos-rms-admin(read); osmos-rms-ui-write(read); osmos-rms-write(read)"
"onlinesales-ai/pmaxLauncher","private","1","main","Python","565","2024-09-24T11:29:27Z","2026-01-15T05:59:38Z","Google Performance Max Launcher","https://github.com/onlinesales-ai/pmaxLauncher","git@github.com:onlinesales-ai/pmaxLauncher.git","frigga-cloud(write); hyperlocal(read); hyperlocal-admin(admin); hyperlocal-write(write); infra-admin(admin); osmos-client-delight(read); osmos-client-delight-admin(read); osmos-client-delight-write(read); osmos-offsite-admin(admin); osmos-offsite-write(write); osmso-offsite(read)"
"onlinesales-ai/engageServiceConsumer","private","1","release_1.0","JavaScript","545","2024-10-07T11:35:33Z","2025-01-20T12:58:03Z","","https://github.com/onlinesales-ai/engageServiceConsumer","git@github.com:onlinesales-ai/engageServiceConsumer.git","osmos-media(read); osmos-media-admin(read); osmos-media-write(read); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/osmos-events-api-qa","private","1","main","JavaScript","212","2024-10-08T09:41:47Z","2024-10-16T04:33:12Z","","https://github.com/onlinesales-ai/osmos-events-api-qa","git@github.com:onlinesales-ai/osmos-events-api-qa.git","osmos-media(read); osmos-media-admin(read); osmos-media-write(write)"
"onlinesales-ai/ds-opc-classification-training","private","1","main","N/A","251","2024-10-16T05:18:25Z","2024-10-16T05:18:28Z","ds-opc-classification-training","https://github.com/onlinesales-ai/ds-opc-classification-training","git@github.com:onlinesales-ai/ds-opc-classification-training.git","osmos-performance(write); osmos-performance-admin(admin); osmos-performance-write(write)"
"onlinesales-ai/user-tagging-api-qa","private","1","main","JavaScript","321","2024-10-16T07:03:42Z","2025-07-01T08:12:06Z","User Tagging API (external) QA Setup","https://github.com/onlinesales-ai/user-tagging-api-qa","git@github.com:onlinesales-ai/user-tagging-api-qa.git","osmos-rms-write(write)"
"onlinesales-ai/audience-segment-api-qa","private","1","main","JavaScript","6553","2024-10-28T06:24:24Z","2025-07-02T07:41:09Z","Audience Segment API (external) QA Setup","https://github.com/onlinesales-ai/audience-segment-api-qa","git@github.com:onlinesales-ai/audience-segment-api-qa.git","osmos-rms-write(write)"
"onlinesales-ai/auditService","private","1","release_1.0","Python","322","2024-11-04T07:54:37Z","2026-02-23T15:58:36Z","","https://github.com/onlinesales-ai/auditService","git@github.com:onlinesales-ai/auditService.git","frigga-cloud(write); osmos-client-delight(read); osmos-client-delight-admin(read); osmos-client-delight-write(read); osmos-performance(read); osmos-performance-admin(read); osmos-performance-write(read); osmos-rms(triage); osmos-rms-admin(admin); osmos-rms-interns(write); osmos-rms-ui-write(triage); osmos-rms-write(write); retailium(read); retailium-admin(read); retailium-write(read)"
"onlinesales-ai/campaignCloner","private","1","main","N/A","44","2024-11-08T07:14:25Z","2024-11-13T06:04:35Z","","https://github.com/onlinesales-ai/campaignCloner","git@github.com:onlinesales-ai/campaignCloner.git","osmos-media(maintain); osmos-media-admin(maintain); osmos-media-write(maintain)"
"onlinesales-ai/novuWorkflows","private","1","release_1.0","JavaScript","85","2024-11-13T06:44:06Z","2025-11-19T09:52:52Z","","https://github.com/onlinesales-ai/novuWorkflows","git@github.com:onlinesales-ai/novuWorkflows.git","frigga-cloud(write); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/os-pyutils","private","1","release","Python","53","2024-11-15T06:24:55Z","2026-01-12T11:22:41Z","","https://github.com/onlinesales-ai/os-pyutils","git@github.com:onlinesales-ai/os-pyutils.git","dev(read); dev-external-contractors(write); frigga-cloud(write); instore-write(write); osmos-client-delight-admin(admin); osmos-performance(read); osmos-performance-admin(admin); osmos-performance-write(write); osmos-rms(read); osmos-rms-admin(read); osmos-rms-ui-write(read); osmos-rms-write(read)"
"onlinesales-ai/marketing-api-qa","private","1","main","JavaScript","778","2024-11-15T10:32:40Z","2025-07-02T11:48:54Z","Marketing API (external) QA Setup","https://github.com/onlinesales-ai/marketing-api-qa","git@github.com:onlinesales-ai/marketing-api-qa.git","cw-qa(read); osmos-rms-write(write)"
"onlinesales-ai/secure-api-demo","private","1","main","JavaScript","253","2024-11-19T10:04:36Z","2025-07-21T05:29:34Z","","https://github.com/onlinesales-ai/secure-api-demo","git@github.com:onlinesales-ai/secure-api-demo.git","ui(read); ui-admin(read); ui-write(read)"
"onlinesales-ai/auditConsumer","private","1","release_1.0","Python","78","2024-11-22T10:13:19Z","2025-01-15T09:35:37Z","","https://github.com/onlinesales-ai/auditConsumer","git@github.com:onlinesales-ai/auditConsumer.git","osmos-rms(read); osmos-rms-admin(read); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/masterGoalService","private","1","main","N/A","0","2024-12-11T11:29:39Z","2024-12-11T11:29:39Z","SVN to Git T1","https://github.com/onlinesales-ai/masterGoalService","git@github.com:onlinesales-ai/masterGoalService.git","No team assigned"
"onlinesales-ai/beamEventProcessor","private","1","stage","Java","317","2024-12-16T19:35:13Z","2025-11-20T09:45:43Z","","https://github.com/onlinesales-ai/beamEventProcessor","git@github.com:onlinesales-ai/beamEventProcessor.git","osmos-media-write(write)"
"onlinesales-ai/brand-ads-ui-service-api-qa","private","1","main","JavaScript","1657","2024-12-27T07:20:32Z","2025-07-03T08:34:03Z","Brand Ads UI Service API (internal) QA Setup","https://github.com/onlinesales-ai/brand-ads-ui-service-api-qa","git@github.com:onlinesales-ai/brand-ads-ui-service-api-qa.git","osmos-rms(read); osmos-rms-admin(read); osmos-rms-ui-write(write); osmos-rms-write(read)"
"onlinesales-ai/osmos-advertiser-suggestion-generator","private","1","main","Python","714","2025-01-03T17:42:46Z","2025-08-26T05:45:26Z","osmos-advertiser-suggestion-generator","https://github.com/onlinesales-ai/osmos-advertiser-suggestion-generator","git@github.com:onlinesales-ai/osmos-advertiser-suggestion-generator.git","frigga-cloud(write); infra-admin(admin); osmos-performance(write); osmos-performance-admin(admin); osmos-performance-write(write)"
"onlinesales-ai/gitops","private","1","master","N/A","51","2025-01-07T05:40:38Z","2025-02-04T10:33:06Z","","https://github.com/onlinesales-ai/gitops","git@github.com:onlinesales-ai/gitops.git","flairminds(write); infra(read); infra-admin(admin); infra-write(write)"
"onlinesales-ai/butlerService","private","1","release_1.0","JavaScript","380","2025-01-22T05:42:48Z","2026-02-19T12:35:44Z","","https://github.com/onlinesales-ai/butlerService","git@github.com:onlinesales-ai/butlerService.git","frigga-cloud(write); hyperlocal-write(write); infra-admin(admin); osmos-client-delight(read); osmos-client-delight-admin(read); osmos-client-delight-write(read); osmos-data(read); osmos-data-admin(read); osmos-data-write(read); osmos-performance(write); osmos-performance-admin(write); osmos-performance-write(write); osmos-rms(read); osmos-rms-admin(admin); osmos-rms-interns(write); osmos-rms-ui-write(read); osmos-rms-write(write)"
"onlinesales-ai/kuber-service-api-qa","private","1","main","JavaScript","384","2025-01-22T07:03:47Z","2025-07-01T08:06:19Z","Kuber Service QA Setup","https://github.com/onlinesales-ai/kuber-service-api-qa","git@github.com:onlinesales-ai/kuber-service-api-qa.git","osmos-rms-write(write)"
